ID	label	region	name	name_full	hemi	color	key_L1	name_L1	key_L2	name_L2	key_L3	name_L3
1072	cortex_lh_caudal_vlPFC	cortex	caudal_vlPFC	caudal_ventrolateral_prefrontal_cortex (caudal_vlPFC)	lh	#A6A7FF	1001	Frontal_Lobe (Frontal)	1050	lateral_prefrontal_cortex (lat_PFC)	1064	ventrolateral_prefrontal_cortex (vlPFC)
1079	cortex_lh_M1	cortex	M1	primary_motor_cortex (M1)	lh	#723BFF	1001	Frontal_Lobe (Frontal)	1077	motor_cortex (motor)	1078	lateral_motor_cortex (M1/PM)
1080	cortex_lh_PM	cortex	PM	premotor_cortex (PM)	lh	#394D80	1001	Frontal_Lobe (Frontal)	1077	motor_cortex (motor)	1078	lateral_motor_cortex (M1/PM)
1087	cortex_lh_SMA/preSMA	cortex	SMA/preSMA	medial_supplementary_motor_areas (SMA/preSMA)	lh	#73B0FF	1001	Frontal_Lobe (Frontal)	1077	motor_cortex (motor)	1087	medial_supplementary_motor_areas (SMA/preSMA)
1092	cortex_lh_SI	cortex	SI	primary_somatosensory_cortex (SI)	lh	#3B4BFF	1090	Parietal_Lobe (Parietal)	1091	somatosensory_cortex (SI/SII)	1092	primary_somatosensory_cortex (SI)
1095	cortex_lh_SII	cortex	SII	secondary_somatosensory_cortex (SII)	lh	#1D5880	1090	Parietal_Lobe (Parietal)	1091	somatosensory_cortex (SI/SII)	1095	secondary_somatosensory_cortex (SII)
1098	cortex_lh_V6	cortex	V6	visual_area_V6 (V6)	lh	#3BB0FF	1090	Parietal_Lobe (Parietal)	1096	superior_parietal_lobule (SPL)	1097	visual_areas_V6_and_V6A (V6/V6A)
1099	cortex_lh_V6A	cortex	V6A	visual_area_V6A (V6A)	lh	#8CDBFF	1090	Parietal_Lobe (Parietal)	1096	superior_parietal_lobule (SPL)	1097	visual_areas_V6_and_V6A (V6/V6A)
1102	cortex_lh_area_5	cortex	area_5	area_5 (area_5)	lh	#3B83FF	1090	Parietal_Lobe (Parietal)	1096	superior_parietal_lobule (SPL)	1102	area_5 (area_5)
1107	cortex_lh_vm_IPS	cortex	vm_IPS	ventromedial_intraparietal_sulcus (vm_IPS)	lh	#8CE4FF	1090	Parietal_Lobe (Parietal)	1096	superior_parietal_lobule (SPL)	1107	ventromedial_intraparietal_sulcus (vm_IPS)
